Date,Close,Volume,Open,High,Low
11/30/2023,133.92,29913530,136.4,136.96,132.79
11/29/2023,136.4,21014720,138.99,139.67,136.3
11/28/2023,138.62,17046870,137.63,138.66,137.04
11/27/2023,138.05,17886390,137.57,139.63,137.54
11/24/2023,138.22,8828640,139.54,139.68,137.47
11/22/2023,140.02,17310210,139.1,141.1,139
11/21/2023,138.62,17648070,137.94,138.97,137.71
11/20/2023,137.92,19589010,135.5,138.43,135.49
11/17/2023,136.94,25590190,137.82,138,135.48
11/16/2023,138.7,17615070,136.96,138.88,136.08
11/15/2023,136.38,15840880,136.64,136.84,135.33
11/14/2023,135.43,22317350,135.65,137.24,135.1
11/13/2023,133.64,16409860,133.36,134.11,132.77
11/10/2023,134.06,20879840,131.53,134.27,130.87
11/09/2023,131.69,17976530,133.36,133.96,131.51
11/08/2023,133.26,15093600,132.36,133.54,132.16
11/07/2023,132.4,19223790,131.98,133.28,131.14
11/06/2023,131.45,15360360,130.22,131.56,129.93
11/03/2023,130.37,19529450,129.09,130.73,129.01
11/02/2023,128.58,24091670,129.56,130.09,128.11
11/01/2023,127.57,26536600,125.34,127.74,124.93
10/31/2023,125.3,21123420,126.27,126.56,123.93
10/30/2023,125.75,24165630,124.46,126.55,123.88
10/27/2023,123.4,37367670,124.03,124.44,121.46
10/26/2023,123.44,33907360,124.47,125.46,122.32
10/25/2023,126.67,58796070,129.77,130.1,126.09
10/24/2023,140.12,26535200,139.16,140.71,138.75
10/23/2023,137.9,20780670,136.23,139.02,135.11
10/20/2023,136.74,24970260,138.59,139.04,136.25
10/19/2023,138.98,21831180,139.8,141.01,138.6
10/18/2023,139.28,18304870,140.75,141.99,138.71
10/17/2023,140.99,17424020,140.03,141.25,138.53
10/16/2023,140.49,17345560,139.73,140.91,139.32
10/13/2023,138.58,19447570,140.65,141.34,137.97
10/12/2023,140.29,18173110,142.16,142.38,139.45
10/11/2023,141.7,20146340,139.85,142.22,139.84
10/10/2023,139.2,19554920,139.51,140.74,138.43
10/09/2023,139.5,16599100,137.99,139.97,136.7
10/06/2023,138.73,20826680,134.94,139.19,134.94
10/05/2023,135.99,15922940,136.13,136.5,134.46
10/04/2023,136.27,22847990,133.66,136.57,133.43
10/03/2023,133.3,19628740,134.93,135.24,132.82
10/02/2023,135.17,19210390,132.16,135.36,132.07
09/29/2023,131.85,23237340,134.08,134.89,131.32
09/28/2023,133.13,18201390,130.69,134.18,130.69
09/27/2023,131.46,18764200,129.44,131.72,129.38
09/26/2023,129.45,20378790,130.91,131.41,128.19
09/25/2023,132.17,14650030,130.77,132.22,130.03
09/22/2023,131.25,17355280,131.68,133.01,130.51
09/21/2023,131.36,22058380,132.39,133.19,131.09
09/20/2023,134.59,21473530,138.83,138.84,134.52
09/19/2023,138.83,15484640,138.25,139.18,137.5
09/18/2023,138.96,16233590,137.63,139.93,137.63
09/15/2023,138.3,48958840,138.8,139.36,137.18
09/14/2023,138.99,19064610,138.39,139.55,137.06
09/13/2023,137.5,16394920,135.9,137.7,134.93
09/12/2023,136.07,15212930,137.13,137.64,135.93
09/11/2023,137.74,17180760,137.38,138.26,136.55
09/08/2023,137.2,17820010,135.87,137.52,135.87
09/07/2023,136.2,16975960,134.6,136.58,133.96
09/06/2023,135.37,15814330,137.02,137.48,134.69
09/05/2023,136.71,17730220,136.44,137.37,135.56
09/01/2023,136.8,16671650,138.43,138.58,135.94
08/31/2023,137.35,28147850,137.05,138.4,136.82
08/30/2023,136.93,21773360,135.57,137.25,135.02
08/29/2023,135.49,30803270,133,137.3,132.98
08/28/2023,131.79,16715470,132.08,133.24,130.85
08/25/2023,130.69,20678100,130.14,131.4,128.04
